ine5,nom,costaner,dist_m
17184,Santa Pau,0,40467
08034,Calders,0,41027
43146,Senan,0,41155
08008,Argençola,0,41191
25238,Vallbona de les Monges,0,41303
25073,Cervià de les Garrigues,0,41408
43101,Passanant i Belltall,0,41541
43073,Llorac,0,41598
17109,Montagut i Oix,0,41614
43125,Riba-roja d'Ebre,0,41637
08246,Santa Eugènia de Berga,0,41742
08129,Muntanyola,0,41742
43143,Savallà del Comtat,0,41893
08061,Castellgalí,0,42017
17165,Sant Jaume de Llierca,0,42190
08113,Manresa,0,42323
25154,els Omells de na Gaia,0,42449
25224,els Torms,0,42502
08901,Rupit i Pruit,0,42575
08083,Folgueroles,0,42600
25216,Talavera,0,42692
08103,Jorba,0,42780
08275,Tavèrnoles,0,42995
08037,Calldetenes,0,43315
08140,Navarcles,0,43358
17133,les Planes d'Hostoles,0,43398
08298,Vic,0,43480
08012,Avinyó,0,43523
08059,Castellfollit del Boix,0,43524
08010,Artés,0,43942
17185,Sant Joan les Fonts,0,44102
25081,l'Espluga Calba,0,44272
08258,Santa Maria d'Oló,0,44311
25058,les Borges Blanques,0,44313
08213,Sant Fruitós de Bages,0,44518
08079,l'Estany,0,44593
08247,Santa Eulàlia de Riuprimer,0,44829
25074,Ciutadilla,0,45150
25109,Guimerà,0,45246
08098,Sant Salvador de Guardiola,0,45315
43159,Vallfogona de Riucorb,0,45522
08280,Tavertet,0,45681
25006,l'Albagés,0,45745
25092,la Floresta,0,45750
08185,Rubió,0,46067
25125,Llardecans,0,46094
25153,els Omellons,0,46202
25145,Nalec,0,46497
25141,Montoliu de Segarra,0,46601
25130,Maldà,0,46670
25206,el Soleràs,0,46753
43110,la Pobla de Massaluca,0,46793
17046,Castellfollit de la Roca,0,46844
25029,Arbeca,0,46939
08191,Sallent,0,46944
25133,Maials,0,46986
08116,les Masies de Roda,0,47068
08133,Montmaneu,0,47177
17114,Olot,0,47195
25067,Castelldans,0,47221
17039,Camprodon,0,47248
17161,Sant Feliu de Pallerols,0,47412
08100,Gurb,0,47478
25119,Juneda,0,47662
08071,Copons,0,47732
25902,Sant Martí de Riucorb,0,47764
25905,Ribera d'Ondara,0,47789
08183,Roda de Ter,0,48461
17208,la Vall de Bianya,0,48731
08297,Veciana,0,48964
25076,el Cogul,0,48999
08199,Sant Bartomeu del Grau,0,49021
08192,Santpedor,0,49043
08254,l'Esquirol,0,49405
25105,Granyena de les Garrigues,0,49529
25226,Torrebesses,0,49959
08218,Sant Joan de Vilatorrada,0,49975
25192,Sant Guim de Freixenet,0,49985
08178,Rajadell,0,50087
25143,Montornès de Segarra,0,50329
08151,Oristà,0,51106
08112,Manlleu,0,51408
17139,les Preses,0,51449
25020,Almatret,0,51461
25242,Verdú,0,51559
08084,Fonollosa,0,51965
17207,la Vall d'en Bas,0,52001
08117,les Masies de Voltregà,0,52350
08243,Santa Cecília de Voltregà,0,52460
25104,Granyena de Segarra,0,52539
25046,Belianes,0,52600
25072,Cervera,0,52882
08212,Sant Feliu Sasserra,0,52985
08062,Castellnou de Bages,0,52997
08170,els Prats de Rei,0,53331
08002,Aguilar de Segarra,0,53646
17107,Molló,0,53696
08038,Callús,0,53740
08018,Balsareny,0,53758
25176,Preixana,0,53774
25010,Alcanó,0,53804
25180,Puiggròs,0,53946
08176,Pujalt,0,54234
25200,Sarroca de Lleida,0,54349
25036,Aspa,0,54415
25204,Seròs,0,54570
08285,Torelló,0,54716
25217,Tàrrega,0,54950
25014,Alfés,0,55146
25085,Estaràs,0,55218
08215,Sant Hipòlit de Voltregà,0,55249
25103,Granyanella,0,55325
08229,Sant Mateu de Bages,0,55492
17149,Riudaura,0,55712
08228,Sant Martí Sesgueioles,0,56110
08233,Sant Pere de Torelló,0,56245
25152,les Oluges,0,56322
08090,Gaià,0,56380
08149,Olost,0,56439
25033,Artesa de Lleida,0,56508
25050,Bellpuig,0,56554
08271,Sobremunt,0,56623
08255,Santa Maria de Merlès,0,56722
25248,Vilanova de Bellpuig,0,56800
08274,Súria,0,56944
25182,Puigverd de Lleida,0,57221
25244,Vilagrassa,0,57255
08265,Sant Vicenç de Torelló,0,57338
08031,Calaf,0,57958
25038,Aitona,0,58059
08189,Sant Pere Sallavinera,0,58108
25135,Miralcamp,0,58292
08036,Calonge de Segarra,0,58351
25120,Lleida,0,58370
25230,Torregrossa,0,58399
08141,Navàs,0,58997
08150,Orís,0,59298
08175,Puig-reig,0,59720
25099,Golmés,0,59801
25212,Sunyer,0,59804
25194,Sant Ramon,0,59904
17091,Llanars,0,60172
08160,Perafita,0,60229
08201,Sant Boi de Lluçanès,0,60329
25911,els Plans de Sió,0,60478
25027,Anglesola,0,60636
17212,Vidrà,0,60672
17192,Setcases,0,60686
25232,Torres de Segre,0,60727
08171,Prats de Lluçanès,0,60758
25219,Tarroja de Segarra,0,60833
08308,Viver i Serrateix,0,60990
17177,Sant Pau de Segúries,0,61130
08060,Castellfollit de Riubregós,0,61338
08225,Sant Martí d'Albars,0,61354
25102,la Granja d'Escarp,0,61420
25004,els Alamús,0,61668
17167,Sant Joan de les Abadesses,0,61701
25136,la Molsosa,0,61744
25068,Castellnou de Seana,0,61758
25137,Mollerussa,0,62068
25907,Torrefeta i Florejacs,0,62383
08253,Santa Maria de Besora,0,62558
17170,Vallfogona de Ripollès,0,62791
25048,Bell-lloc d'Urgell,0,62841
25114,Ivorra,0,62891
08237,Sant Quirze de Besora,0,62948
25142,Montoliu de Lleida,0,62969
25093,Fondarella,0,63046
25205,Sidamon,0,63241
08195,Sant Agustí de Lluçanès,0,63389
08109,Lluçà,0,63620
