ine5,nom,densitat_hab_km2,our_gap_pct,etca_gap_pct,our_lo_pct,our_hi_pct,signe_oposat,classe
08304,Vilobí del Penedès,122.2,-11.7,-5.0,-24.7,7.6,0,coincident
08305,Vilafranca del Penedès,2103.2,-2.0,-4.8,-6.0,20.6,0,coincident
08307,Vilanova i la Geltrú,2094.1,-7.8,-2.2,-28.5,15.6,0,coincident
08902,Vilanova del Vallès,375.8,-4.1,-9.6,-18.3,16.7,0,coincident
08904,Badia del Vallès,15160.7,-8.0,-11.2,-11.7,13.2,0,coincident
08905,"Palma de Cervelló, la",587.1,-4.9,-14.9,-18.9,15.8,0,coincident
17002,Aiguaviva,57.0,5.8,32.2,-9.9,28.6,0,coincident
17005,"Far d'Empordà, el",68.1,-13.9,83.1,-26.7,4.8,1,soroll
17006,Alp,38.7,91.3,82.2,63.1,132.8,0,coincident
17007,Amer,60.4,-4.8,18.0,-18.8,15.9,1,soroll
17008,Anglès,359.7,-20.5,-6.5,-32.2,-3.2,0,coincident
17009,Arbúcies,75.8,-13.3,-2.9,-26.1,5.5,0,coincident
17011,"Armentera, l'",180.9,19.3,-1.1,1.7,45.2,1,soroll
17012,Avinyonet de Puigventós,135.1,3.1,-11.3,-12.2,25.5,1,soroll
17013,Begur,202.4,175.9,89.1,114.0,245.8,0,coincident
17015,Banyoles,1864.5,-5.4,-3.0,-9.2,16.4,0,coincident
17016,Bàscara,62.4,17.2,-0.3,-0.1,42.7,1,soroll
17019,Besalú,548.7,-1.9,-2.8,-16.4,19.4,0,coincident
17020,Bescanó,141.5,-2.1,-10.1,-16.6,19.1,0,coincident
17022,"Bisbal d'Empordà, la",560.5,-3.5,-5.6,-17.8,17.4,0,coincident
17023,Blanes,2362.5,15.3,14.0,-10.5,44.6,0,coincident
17025,Bordils,255.5,12.7,-12.7,-4.0,37.1,1,soroll
17027,Breda,784.9,-1.9,-7.8,-16.4,19.4,0,coincident
17032,Cadaqués,109.8,114.0,89.7,66.0,168.3,0,coincident
17033,Caldes de Malavella,147.7,18.9,2.0,1.3,44.7,0,coincident
17034,Calonge,363.5,96.8,57.1,52.7,146.7,0,coincident
17036,Campdevànol,98.8,-22.4,-6.7,-33.9,-5.6,0,coincident
17039,Camprodon,24.1,1.0,43.4,-13.9,23.0,0,coincident
17044,Cassà de la Selva,240.1,-2.0,-5.2,-16.5,19.3,0,coincident
17047,Castelló d'Empúries,284.6,127.8,56.7,76.7,185.6,0,coincident
17048,Castell-Platja d'Aro,586.2,128.1,72.9,76.9,186.0,0,coincident
17049,Celrà,280.1,-11.8,5.0,-24.8,7.3,1,soroll
17050,Cervià de Ter,98.6,0.5,-11.0,-14.3,22.4,1,soroll
17054,Colera,20.0,75.3,107.3,35.9,119.6,0,coincident
17056,Cornellà del Terri,85.3,-2.2,12.7,-16.7,19.0,1,soroll
17057,Corçà,79.1,17.2,5.9,-0.1,42.7,0,coincident
17062,"Escala, l'",650.2,121.6,63.5,71.9,177.8,0,coincident
17066,Figueres,2545.1,3.2,-0.2,-0.9,27.1,1,soroll
17067,Flaçà,162.7,-7.3,-14.1,-21.0,12.8,0,coincident
17071,Fontcoberta,87.7,-14.9,-10.7,-27.4,3.6,0,coincident
17073,Fornells de la Selva,237.3,-1.1,12.4,-15.7,20.4,1,soroll
17077,Garriguella,45.9,0.9,11.2,-14.0,22.9,0,coincident
17079,Girona,2736.5,-1.2,13.2,-5.1,21.6,1,soroll
17083,Hostalric,1311.2,-0.6,-0.7,-15.3,20.9,0,coincident
17086,"Jonquera, la",57.7,14.5,88.4,-2.4,39.3,0,coincident
17089,Llagostera,123.0,5.8,-6.6,-9.8,28.8,1,soroll
17092,Llançà,179.2,63.3,61.2,26.7,104.7,0,coincident
17093,Llers,59.1,-12.0,3.3,-25.0,7.2,1,soroll
17094,Llívia,118.9,42.0,20.7,21.0,72.8,0,coincident
17095,Lloret de Mar,871.4,35.2,44.2,4.8,69.4,0,coincident
17103,Maçanet de la Selva,174.2,13.3,3.9,-3.4,37.9,0,coincident
17109,Montagut i Oix,10.6,-22.3,-5.9,-33.7,-5.4,0,coincident
17110,Mont-ras,135.7,31.2,21.3,1.7,64.4,0,coincident
17111,Navata,79.3,28.5,5.9,9.5,56.4,0,coincident
17114,Olot,1326.7,-10.5,-5.0,-23.8,8.9,0,coincident
17117,Palafrugell,899.8,53.6,27.1,19.1,92.5,0,coincident
17118,Palamós,1340.2,23.3,23.9,-4.4,54.5,0,coincident
17120,Palau-saverdera,89.5,54.9,-3.6,32.0,88.5,1,soroll
17124,Pals,99.9,177.2,165.9,114.9,247.4,0,coincident
17132,Peralada,46.2,23.3,2.0,5.1,50.0,0,coincident
17133,"Planes d'Hostoles, les",46.6,-9.9,-5.8,-23.2,9.6,0,coincident
17137,Porqueres,141.7,-4.7,-10.2,-18.8,16.0,0,coincident
17138,Portbou,115.9,-5.3,61.8,-26.5,18.8,1,soroll
17139,"Preses, les",205.6,-7.9,10.9,-21.5,12.1,1,soroll
17140,"Port de la Selva, el",25.3,133.6,189.7,81.1,192.7,0,coincident
17141,Puigcerdà,530.5,20.4,22.3,2.6,46.5,0,coincident
17142,Quart,107.1,-8.3,-15.5,-21.9,11.6,0,coincident
17145,Ribes de Freser,44.0,-9.6,19.1,-23.0,10.0,1,soroll
17146,Riells i Viabrea,165.6,13.8,-8.6,-3.0,38.5,1,soroll
17147,Ripoll,145.4,-18.3,2.3,-30.4,-0.6,1,soroll
17148,Riudarenes,51.3,16.4,13.5,-0.7,41.8,0,coincident
17150,Riudellots de la Selva,159.4,29.3,89.1,10.2,57.4,0,coincident
17152,Roses,438.5,82.7,46.7,41.7,129.0,0,coincident
17155,Salt,5139.3,-4.6,-3.0,-8.4,17.4,0,coincident
17159,Sant Feliu de Buixalleu,14.1,27.8,15.9,8.9,55.6,0,coincident
17160,Sant Feliu de Guíxols,1449.9,35.7,11.3,5.2,70.1,0,coincident
17161,Sant Feliu de Pallerols,49.0,-22.9,-9.0,-34.3,-6.2,0,coincident
17163,Sant Gregori,86.3,-4.9,4.8,-18.9,15.8,1,soroll
17164,Sant Hilari Sacalm,71.8,-30.7,-4.0,-40.9,-15.6,0,coincident
17165,Sant Jaume de Llierca,121.1,-8.3,49.9,-21.9,11.6,1,soroll
17167,Sant Joan de les Abadesses,62.2,-9.9,0.9,-23.2,9.7,1,soroll
17169,Sant Julià de Ramis,194.5,-2.9,-12.7,-17.2,18.2,0,coincident
17178,Sant Pere Pescador,122.2,30.6,133.1,1.3,63.7,0,coincident
17180,Santa Coloma de Farners,195.3,-5.6,-4.6,-19.6,14.9,0,coincident
17181,Santa Cristina d'Aro,85.9,53.1,21.7,18.7,91.9,0,coincident
