ine5,municipi,tipus_territorial,densitat_hab_km2,etca,kwh_dom,base_implied,base_pred,err_regressio_pct,err_loo_pct
17044,Cassà de la Selva,interior_rural,240.1,10367.0,14632933,1411.0,1365.0,3.4,3.4
17046,Castellfollit de la Roca,interior_rural,1307.5,,1066650,,1201.0,,
17049,Celrà,interior_rural,280.1,5830.0,6552767,1124.0,1338.0,-16.0,-16.1
17050,Cervià de Ter,interior_rural,98.6,887.0,1761699,1986.0,1758.0,13.0,13.1
17051,Cistella,interior_rural,11.4,,570766,,1864.0,,
17052,Siurana,interior_rural,16.8,,456043,,1955.0,,
17055,Colomers,interior_rural,47.6,,463003,,1920.0,,
17056,Cornellà del Terri,interior_rural,85.3,2699.0,3587993,1329.0,1533.0,-13.3,-13.3
17057,Corçà,interior_rural,79.1,1357.0,2328203,1716.0,1549.0,10.7,10.8
17058,Crespià,interior_rural,21.9,,446152,,1700.0,,
17060,Darnius,interior_rural,15.6,,966178,,1698.0,,
17061,Das,interior_rural,18.4,,1117910,,2326.0,,
17063,Espinelves,interior_rural,14.4,,542893,,1870.0,,
17064,Espolla,interior_rural,9.4,,583921,,1897.0,,
17065,Esponellà,interior_rural,27.5,,819167,,1886.0,,
17067,Flaçà,interior_rural,162.7,984.0,1445244,1469.0,1362.0,7.8,7.9
17068,Foixà,interior_rural,15.7,,1089211,,2159.0,,
17069,Fontanals de Cerdanya,interior_rural,18.3,,3603441,,2267.0,,
17070,Fontanilles,interior_rural,17.5,,716351,,1964.0,,
17071,Fontcoberta,interior_rural,87.7,1340.0,2167197,1617.0,1696.0,-4.6,-4.7
17073,Fornells de la Selva,interior_rural,237.3,3124.0,4758305,1523.0,1730.0,-12.0,-12.2
17074,Fortià,interior_rural,73.9,,1397316,,1742.0,,
17075,Garrigàs,interior_rural,23.3,,971196,,1884.0,,
17076,Garrigoles,interior_rural,20.6,,397529,,2037.0,,
17077,Garriguella,interior_rural,45.9,1075.0,1710011,1591.0,1752.0,-9.2,-9.3
17078,Ger,interior_rural,14.9,,2169651,,2170.0,,
17080,Gombrèn,interior_rural,4.5,,301152,,1920.0,,
17081,Gualta,interior_rural,47.3,,1577859,,1626.0,,
17082,Guils de Cerdanya,interior_rural,25.6,,3241378,,2058.0,,
17083,Hostalric,interior_rural,1311.2,4411.0,5222376,1184.0,1183.0,0.1,0.1
17084,Isòvol,interior_rural,31.1,,1089458,,1990.0,,
17085,Jafre,interior_rural,57.9,,820783,,1698.0,,
