codi6;ine5;nom
170871;17087;Juià
251180;25118;Juncosa
251193;25119;Juneda
250061;25006;l'Albagés
250096;25009;l'Albi
430038;43003;l'Albiol
439044;43904;l'Aldea
430075;43007;l'Aleixar
430136;43013;l'Ametlla de Mar
080057;08005;l'Ametlla del Vallès
439060;43906;l'Ampolla
430167;43016;l'Arboç
430173;43017;l'Argentera
170118;17011;l'Armentera
170622;17062;l'Escala
250812;25081;l'Espluga Calba
430542;43054;l'Espluga de Francolí
080787;08078;l'Espunyola
082541;08254;l'Esquirol
080790;08079;l'Estany
081017;08101;l'Hospitalet de Llobregat
250426;25042;la Baronia de Rialb
170221;17022;la Bisbal d'Empordà
430271;43027;la Bisbal de Montsant
430287;43028;la Bisbal del Penedès
439076;43907;la Canonja
171899;17189;la Cellera de Ter
251636;25163;la Coma i la Pedra
430568;43056;la Fatarella
430574;43057;la Febró
430580;43058;la Figuera
250925;25092;la Floresta
250962;25096;la Fuliola
430635;43063;la Galera
080885;08088;la Garriga
080945;08094;la Granada
251018;25101;la Granadella
251023;25102;la Granja d'Escarp
259031;25903;la Guingueta d'Àneu
170865;17086;la Jonquera
081043;08104;la Llacuna
081056;08105;la Llagosta
430803;43080;la Masó
251364;25136;la Molsosa
430960;43096;la Morera de Montsant
081424;08142;la Nou de Berguedà
430976;43097;la Nou de Gaià
430995;43099;la Palma d'Ebre
089058;08905;la Palma de Cervelló
171306;17130;la Pera
081653;08165;la Pobla de Claramunt
251692;25169;la Pobla de Cérvoles
081666;08166;la Pobla de Lillet
431093;43109;la Pobla de Mafumet
431107;43110;la Pobla de Massaluca
431114;43111;la Pobla de Montornès
251713;25171;la Pobla de Segur
251749;25174;la Portella
081770;08177;la Quar
431248;43124;la Riba
431264;43126;la Riera de Gaià
081810;08181;la Roca del Vallès
431362;43136;la Ràpita
431444;43144;la Secuita
171886;17188;la Selva de Mar
431457;43145;la Selva del Camp
250352;25035;la Sentiu de Sió
252038;25203;la Seu d'Urgell
430445;43044;la Sénia
171959;17195;la Tallada d'Empordà
252271;25227;la Torre de Cabdella
082861;08286;la Torre de Claramunt
431515;43151;la Torre de Fontaubella
431520;43152;la Torre de l'Espanyol
170144;17014;la Vajol
172076;17207;la Vall d'en Bas
172082;17208;la Vall de Bianya
250432;25043;la Vall de Boí
259097;25909;la Vansa i Fórnols
431732;43173;la Vilella Alta
431747;43174;la Vilella Baixa
251214;25121;Les
250371;25037;les Avellanes i Santa Linya
250582;25058;les Borges Blanques
430311;43031;les Borges del Camp
080272;08027;les Cabanyes
080863;08086;les Franqueses del Vallès
170963;17096;les Llosses
081167;08116;les Masies de Roda
081173;08117;les Masies de Voltregà
251522;25152;les Oluges
431055;43105;les Piles de Gaià
171334;17133;les Planes d'Hostoles
171390;17139;les Preses
259062;25906;les Valls d'Aguilar
252398;25239;les Valls de Valira
251229;25122;Linyola
251235;25123;Lladorre
251240;25124;Lladurs
170887;17088;Lladó
170890;17089;Llagostera
170904;17090;Llambilles
170911;17091;Llanars
170926;17092;Llançà
251253;25125;Llardecans
251266;25126;Llavorsí
251207;25120;Lleida
170932;17093;Llers
251272;25127;Lles de Cerdanya
251288;25128;Llimiana
081069;08106;Llinars del Vallès
081075;08107;Lliçà d'Amunt
081081;08108;Lliçà de Vall
251291;25129;Llobera
430733;43073;Llorac
430748;43074;Llorenç del Penedès
170950;17095;Lloret de Mar
081094;08109;Lluçà
170947;17094;Llívia
170979;17097;Madremanya
251333;25133;Maials
170985;17098;Maià de Montcal
251305;25130;Maldà
081108;08110;Malgrat de Mar
081115;08111;Malla
081120;08112;Manlleu
081136;08113;Manresa
430751;43075;Margalef
082423;08242;Marganell
081141;08114;Martorell
081154;08115;Martorelles
430764;43076;Marçà
430770;43077;Mas de Barberans
171002;17100;Masarac i Vilarnadal
430786;43078;Masdenverge
430799;43079;Masllorenç
430810;43081;Maspujols
081192;08119;Masquefa
251312;25131;Massalcoreig
171019;17101;Massanes
251327;25132;Massoteres
081206;08120;Matadepera
081213;08121;Mataró
171024;17102;Maçanet de Cabrenys
171030;17103;Maçanet de la Selva
081228;08122;Mediona
251348;25134;Menàrguens
170998;17099;Meranges
171058;17105;Mieres
251351;25135;Miralcamp
430846;43084;Miravet
081385;08138;Moià
081234;08123;Molins de Rei
251370;25137;Mollerussa
171061;17106;Mollet de Peralada
081249;08124;Mollet del Vallès
171077;17107;Molló
081287;08128;Monistrol de Calders
081271;08127;Monistrol de Montserrat
430918;43091;Mont-ral
171100;17110;Mont-ras
430923;43092;Mont-roig del Camp
171096;17109;Montagut i Oix
430862;43086;Montblanc
